GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,hh_total_x,pop_total_x,hh_size_x,elec_coverage_x,hh_size_norm,ASI_updated,city_corp,pop_total_y,hh_total_y,hh_size_y,elec_coverage_y,pop_total,hh_total,hh_size,elec_coverage,pop_share,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.2.6_1,Dhaka,Badda,Ward No-21,416.2970172557662,0.3386625613629801,0.9950738916256158,0.2150698332619304,0.6327156083398944,0.9950738916256158,0.5562468691301391,Moderate stress,25251.0,89189.0,3.59,99.9,0.2991452991452988,0.4922971818808321,DNCC,89189.0,25251.0,3.59,99.9,89189.0,25251.0,3.59,99.9,0.006788268790144775,2890,5203,7226,0.0583367904113736,0.358695652173913,0.8016304347826086,0.35758889215398176,Moderate concern
BGD.3.1.3.1_1,Dhaka,Bangshal,Ward No-63 (Part),1198.7332164898794,0.4750379403794037,0.6670908111974161,0.6222223867769375,0.8875026463570004,0.6670908111974161,0.7262875837350791,High stress,,,,,,0.7262875837350791,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.9782608695652174,0.5027173913043478,0.6115927123126653,Moderate concern
BGD.3.1.3.2_1,Dhaka,Bangshal,Ward No-66 (Part),716.2814121997264,0.3017220472440945,1.0,0.3711712668812387,0.5637004808068924,1.0,0.5957636750349078,Moderate stress,,,,,,0.5957636750349078,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.7989130434782609,0.5027173913043478,0.49946738172200994,Moderate concern
BGD.3.1.3.3_1,Dhaka,Bangshal,Ward No-67 (part),1040.3577946368312,0.4958383507853403,0.6670908111974161,0.5398093319047267,0.9263635829504784,0.6670908111974161,0.7069236895939122,High stress,,,,,,0.7069236895939122,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.967391304347826,0.5027173913043478,0.6047972377314134,Moderate concern
BGD.3.1.3.4_1,Dhaka,Bangshal,Ward No-68 (part),1148.910685536293,0.4928049535603714,0.0,0.5962964764980042,0.9206963554813172,0.0,0.5607623150176627,Moderate stress,,,,,,0.5607623150176627,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.6413043478260869,0.5027173913043478,0.4009330002938583,Moderate concern
BGD.3.1.3.5_1,Dhaka,Bangshal,Ward No-69,1526.113882512792,0.535252421307506,0.6670908111974161,0.7925798859227429,1.0,0.6670908111974161,0.8338046571684512,High stress,5457.0,20157.0,3.71,99.9,0.4017094017094015,0.7411630026543234,DSCC,20157.0,5457.0,3.71,99.9,20157.0,5457.0,3.71,99.9,0.001534170514334147,653,1175,1633,0.05829240462370392,0.9945652173913043,0.03804347826086957,0.04705406993828975,Low concern
BGD.3.1.3.6_1,Dhaka,Bangshal,Ward No-70,1924.7187894505385,0.3866835761589404,0.6670908111974161,1.0,0.7224321848266579,0.6670908111974161,0.8196239674886843,High stress,5344.0,22417.0,4.0,99.67,0.6495726495726495,0.7939407383606776,DSCC,22417.0,5344.0,4.0,99.67,22417.0,5344.0,4.0,99.67,0.0017061814962458983,726,1307,1816,0.05830396574028639,1.0,0.06521739130434782,0.08110490743461651,Low concern
BGD.3.1.3.7_1,Dhaka,Bangshal,Ward No-71 (Part),1245.8289369491977,0.4350477006311993,0.0,0.646729359822676,0.812789785366074,0.0,0.5431681688071963,Moderate stress,,,,,,0.5431681688071963,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.5597826086956522,0.5027173913043478,0.34996694093446956,Moderate concern
BGD.3.1.4.1_1,Dhaka,Biman Bandar,Dakshinkhan (part),107.3020732241385,0.2767266159338595,0.8295454545454545,0.054279623646308,0.5170020814812498,0.8295454545454545,0.4100489416133243,Moderate stress,,,,,,0.4100489416133243,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.15760869565217392,0.5027173913043478,0.09853438142815163,Low concern
BGD.3.1.4.2_1,Dhaka,Biman Bandar,Ward No-01,12.651576531116785,0.3899066153846154,0.6666666666666666,0.0050268009142442,0.7284537161591119,0.6666666666666666,0.4236361876880535,Moderate stress,17949.0,70477.0,3.86,99.67,0.5299145299145297,0.4231890486760027,DNCC,119514.0,33980.0,3.44,99.87,119514.0,33980.0,3.44,99.87,0.009096336500973917,3873,6972,9683,0.058336261860535164,0.18478260869565216,0.8885869565217391,0.20419482809285924,Low concern
