GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,city_corp,hh_total,pop_total,hh_size,elec_coverage,hh_size_norm,ASI_updated,corp_spatial
BGD.3.1.17.4_1,Dhaka,Kadamtali,Ward No-88,376.28974076414016,0.4417361396303902,0.0,0.1942514396361102,0.8252856447642483,0.0,0.3665505515219309,Moderate stress,,,,,,,0.3665505515219309,DSCC
BGD.3.1.17.5_1,Dhaka,Kadamtali,Ward No-89,363.1059080279642,0.4937212162623846,0.6670908111974161,0.1873910321435848,0.9224081883764864,0.6670908111974161,0.5645719815885581,Moderate stress,,,,,,,0.5645719815885581,DSCC
BGD.3.1.18.2_1,Dhaka,Kafrul,Ward No-14 (part),895.8500364087763,0.416891896869245,1.0,0.4646125263084697,0.7788697075874372,1.0,0.7084494081789909,High stress,,,,,,,0.7084494081789909,DNCC
BGD.3.1.18.3_1,Dhaka,Kafrul,Ward No-15 (part),502.34801245515246,0.2836620844708528,0.9402597402597404,0.2598477748528647,0.5299594605810986,0.9402597402597404,0.5244898562094654,Moderate stress,,,,,,,0.5244898562094654,DNCC
BGD.3.1.19.2_1,Dhaka,Kalabagan,Ward No-51 (Part),667.4195481610291,0.3964804931910196,0.6670908111974161,0.3457452542142223,0.7407355434703189,0.6670908111974161,0.5643282446996545,Moderate stress,,,,,,,0.5643282446996545,DSCC
BGD.3.1.20.1_1,Dhaka,Kamrangir Char,Sultanganj,205.9518892800089,0.3804904524699046,0.9956363636363637,0.1056135529177928,0.7108617118264474,0.9956363636363637,0.5399561112154647,Moderate stress,,,,,,,0.5399561112154647,DSCC
BGD.3.1.21.1_1,Dhaka,Keraniganj,Aganagar,348.30538378632923,0.4026156846000569,0.9840425531914894,0.1796893546851018,0.7521977829012969,0.9840425531914894,0.5811556041873669,Moderate stress,,,,,,,0.5811556041873669,
BGD.3.1.21.2_1,Dhaka,Keraniganj,Basta,27.687081648244856,0.0499643021277004,0.748717948717949,0.0128507542382582,0.0933471762830113,0.748717948717949,0.2249913005738445,Low stress,,,,,,,0.2249913005738445,
BGD.3.1.21.3_1,Dhaka,Keraniganj,Hazratpur,18.497452341278493,0.0491063049514113,0.8390804597701154,0.0080687911314258,0.0917441995525311,0.8390804597701154,0.2451081012384851,Low stress,,,,,,,0.2451081012384851,
BGD.3.1.21.4_1,Dhaka,Keraniganj,Kalatia,18.80751021313257,0.0613133680936911,0.8344322344322348,0.0082301344516689,0.1145503796954636,0.8344322344322348,0.2519927452821385,Low stress,,,,,,,0.2519927452821385,
BGD.3.1.21.5_1,Dhaka,Keraniganj,Kalindi,92.12104739306362,0.1574434584356366,0.9200857317819966,0.046379946409813,0.2941480545777564,0.9200857317819966,0.3515252306116391,Moderate stress,,,,,,,0.3515252306116391,
BGD.3.1.21.6_1,Dhaka,Keraniganj,Konda,63.550948042612106,0.0824856797136409,0.9327615417196076,0.0315130615237352,0.1541061309207088,0.9327615417196076,0.299732755861644,Low stress,,,,,,,0.299732755861644,
BGD.3.1.21.7_1,Dhaka,Keraniganj,Ruhitpur,25.11386283968426,0.0694428467071947,0.931541781090624,0.011511740770216,0.1297385008321136,0.931541781090624,0.2828986168719821,Low stress,,,,,,,0.2828986168719821,
