GID_4,NAME_3,NAME_4,city_corp,ward_no,n_fragments,observed,pop_total,ASI,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.3.5_1,Bangshal,Ward No-69,DSCC,69.0,1.0,True,20157.0,0.7548211223124431,912,1643,2281,0.08151014535893238,0.9915966386554622,0.03361344537815126,0.03757298806803757,Low concern
BGD.3.1.23.1_1,Khilkhet,Dakshinkhan (part),,,1.0,False,,0.3050596290478827,3151,5672,7878,0.08150244995904761,0.058823529411764705,0.5042016806722689,0.03317254802403317,Low concern
BGD.3.1.41.2_1,Sutrapur,Ward No-75,DSCC,75.0,1.0,True,34200.0,0.44789053490809794,1548,2787,3871,0.08149122807017543,0.2184873949579832,0.12605042016806722,0.030633832614030628,Low concern
BGD.3.1.23.2_1,Khilkhet,Dumni,,,1.0,False,,0.3050498161070526,3151,5672,7878,0.08150244995904761,0.05042016806722689,0.5042016806722689,0.028095117204028092,Low concern
BGD.3.1.2.4_1,Badda,Satarkul,,,1.0,False,,0.30035563880332855,3151,5672,7878,0.08150244995904761,0.04201680672268908,0.5042016806722689,0.023017686384023017,Low concern
BGD.3.1.27.1_1,Mohammadpur,Ward No-42,DNCC,42.0,1.0,True,19674.0,0.5926497262128094,890,1603,2227,0.08147809291450646,0.7478991596638656,0.025210084033613446,0.020225099433020227,Low concern
BGD.3.1.2.2_1,Badda,Beraid,,,1.0,False,,0.28785208191975686,3151,5672,7878,0.08150244995904761,0.03361344537815126,0.5042016806722689,0.017940255564017935,Low concern
BGD.3.1.28.1_1,Motijheel,Ward No-31,DSCC,31.0,1.0,True,20255.0,0.4977040019542067,917,1651,2293,0.08151073808936066,0.3865546218487395,0.04201680672268908,0.017094017094017096,Low concern
BGD.3.1.1.1_1,Adabor,Ward No-43,DNCC,43.0,1.0,True,19337.0,0.6883185731141644,875,1576,2189,0.08150178414438641,0.9495798319327731,0.01680672268907563,0.016755521706016754,Low concern
BGD.3.1.9.1_1,Demra,Demra (part),,,1.0,False,,0.2875345304459257,3151,5672,7878,0.08150244995904761,0.025210084033613446,0.5042016806722689,0.01286282474401286,Low concern
BGD.3.1.22.2_1,Khilgaon,Nasirabad,,,1.0,False,,0.2850656480115719,3151,5672,7878,0.08150244995904761,0.01680672268907563,0.5042016806722689,0.007785393924007783,Low concern
BGD.3.1.4.3_1,Biman Bandar,Ward No-98 (rest. Area),,,1.0,False,,0.27781775183991,3151,5672,7878,0.08150244995904761,0.008403361344537815,0.5042016806722689,0.002707963104002707,Low concern
BGD.3.1.35.6_1,Sabujbagh,Ward No-30,DSCC,30.0,1.0,True,15921.0,0.4555109368886675,720,1297,1802,0.0814647321148169,0.23529411764705882,0.008403361344537815,0.0,Low concern
